help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans;link;lat;lon;Woiwod2026;Relevanz Ditt
Bogdanów_wrocławskie;Bogdanów;wrocławskie;urząd stanu cywilnego;;1876-1942;82/1395/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90003#;51.0081299;16.5743592;Opolskie;1
Bogdanowice_opolskie;Bogdanowice;opolskie;urząd stanu cywilnego;;1874-1938;45/789/0;3597;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45281#;50.1653277;17.8318902;Dolnośląskie;1
Bogdaszowice_wrocławskie;Bogdaszowice;wrocławskie;urząd stanu cywilnego;;1883-1943;82/1403/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90011#;51.085896;16.78349;Dolnośląskie;1
Bogdaszowice_wrocławskie;Bogdaszowice;wrocławskie;urząd stanu cywilnego;;1883-1943;82/1403/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90011#;51.085896;16.78349;Dolnośląskie;1
Boguchwałów_opolskie;Boguchwałów;opolskie;urząd stanu cywilnego;;1874-1944;45/803/0;2654;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45295#;50.1456665;17.9082644;Opolskie;1
Boguszów_wałbrzyskie;Boguszów;wałbrzyskie;urząd stanu cywilnego;;1874-1936;82/1553/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90160#;50.7566795;16.2043895;Śląskie, Małopolskie,  Opolskie;1
Boguszyniec_gorzowskie;Boguszyniec;gorzowskie;urząd stanu cywilnego;;1874-1938;66/404/0;212;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35852#;52.639998;14.9826045;Lubuskie, Zachodniopomorskie;1
Boguszyny_gorzowskie;Boguszyny;gorzowskie;urząd stanu cywilnego;;1874-1875;65/1029/0;35;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69425#;53.0851905;15.3524929;Lubuskie, Zachodniopomorskie;1
Bojanowo_leszczyńskie;Bojanowo;leszczyńskie;urząd stanu cywilnego;;1874-1941;34/253/0;24485;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/27141#;51.7070018;16.7487692;Śląskie, Małopolskie,  Opolskie;1
Bolesławice_szczecińskie;Bolesławice;szczecińskie;urząd stanu cywilnego;;1874-1937;65/655/0;1322;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69088#;53.5644784;14.679987;Zachodniopomorskie,  Lubuskie;1
Bolesławice_wałbrzyskie;Bolesławice;wałbrzyskie;urząd stanu cywilnego;;1878-1935;82/1518/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90125#;51.2790594;15.5501792;Dolnośląskie;1
Bolesławice_wałbrzyskie;Bolesławice;wałbrzyskie;urząd stanu cywilnego;;1955 - 1959;84/1538/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/163893#;51.2790594;15.5501792;Dolnośląskie;1
Bolesławów_wałbrzyskie;Bolesławów;wałbrzyskie;urząd stanu cywilnego;;1874-1932;82/1730/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90337#;50.2591;16.8898099;Pomorskie;0
Boleszkowice_gorzowskie;Boleszkowice;gorzowskie;urząd stanu cywilnego;;1876-1944;66/290/0;1288;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35738#;52.7259036;14.5681557;Lubuskie, Zachodniopomorskie;1
Bolewice_gorzowskie;Bolewice;gorzowskie;urząd stanu cywilnego;;1874-1935;53/1829/0;6561;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/16933#;53.05857;15.33362;Lubuskie, Zachodniopomorskie;1
